I told you~,～だって言ったよね,I told you that people judge who you are by how you look.,見た目で人はあなたがどんな人かを判断するって言ったでしょ？
be interested in ~,〜に興味があります,Are you interested in music?,音楽に興味ある？
How can ~?,どうすれば〜できるか,How can I?,どうやって私が？
If only,〜でさえあればいいのに,If only I could make a journey around the world.,世界一周、できたらいいな
What if ~ ?,もし〜ならどうする？,What if there’s traffic? You should leave early.,渋滞だったらどうするの？早めに出た方がいいよ。
Do you mind ~ ?,〜していただけませんか？,Do you mind helping me?,手伝ってもらえませんか？
I was wondering if ~,よければ〜していただけますか,I was wondering if you could give me a ride.,よろしければ車に乗せていただけますか？
I have never~,～したことがない,I have never been abroad.,私は海外に行ったことがありません。
I am in~,～の中です。,I am in!,よし、やろう！
I am out~,やらない,I am out the time.,今回は（その話）おりるわ。
I am on~,～しているところです。,I am on a trip.,今、旅行中です。
I am eager to~,ぜひ～したい。,I am eager to see you again.,ぜひ、またおお会いしたいです。"
I would be better if~,～した方がいいです。,I would be better if you talked less.,君、うるさいね。（口数を減らしたほうがいい）
forget to~ ,～し忘れる,I forget to bring my purse. Is it on you?,あ、財布忘れてしまった。今日は奢ってくれるよね？
Tell me~,～を話してほしい,Tell me about your girlfriend. Oh you are single always! sorry.,彼女の話してよ。あぁ、彼女できたことないか！
How come ~?,どうして〜なの？,How come are you here?,どうしてここにいるの？
That’s because ~,それは〜だからです,That’s because she works too hard.,彼女は働き過ぎだからだ
That’s why ~,だから〜なんだよ,That’s why I need your help.,だから、あなたに手伝ってほしんだ
I wanna ~,〜したい,I wanna tell you about my holiday in U.S. some time.,いつか俺が行ったアメリカ旅行のことを君に話したい。
Let me ~ ,私に〜させて,Let me through.,通してください。
How about ~?,〜はどう？,How about going for a drive?,ドライブにいかない？
Why don’t you ~?,〜したらどうですか？,Why don’t you try this on?,これを試着してみたらどう？
Would you ~ ?,〜してもらえませんか？,Would you show me how to use this?,この使い方を教えていただけますか？
I hate ~,〜が大嫌い,I hate it when it’s hot.,私は暑いのが大嫌い
