冷暖房付き,A/C
寝室,Br
地下室,Bsmt
食道,D/R
エレベーター付き,Elev
最低限,Min
〜分,Mins
〜ヶ月,Mon
レンジ,Stv
交通の便,Trans
洗濯機、乾燥機付き,W/D
家探し,finding a place to live
不動産,real estate
間取り図,floor plan
空き家,vacant house
貸家,house for rent
売家,house for sale
家主,landlord
管理人,guardian
賃貸契約,lease contract
家具付き/家具なし,furnished/unfurnished
家賃,rent
敷金,deposit
電気,electricity
電気料金,electricity bill
ガス,gas
ガス代,gas bill
水道,water
水道料金,water bill
光熱費,heat bill
公共料金,utilities
維持費,maintenance expenses
事前通告,advance notice
返金可能,refundable
前払いする,pay in advance
浴室,bathroom
シャワー,shower
浴槽,bathtub
トイレ,toilet
トイレットペーパー,toiletpaper
洗面台,washbasin
洗濯機,laundry machine
寝室,bedroom
窓,window
ベッド,bad
鏡,mirror
台所,kitchen
冷蔵庫,refrigerator
イス,chair
本棚,bookshelf
棚,shelf
排水,drain
