ワイシャツ,shirt
パンツ,briefs/panties
下着,underwear
ズボン,pants
上着,jacket
スーツ,suit
ブラウス,blouse
スカート,skirt
ワンピース,dress
コート,coat
セーター,sweater
お菓子,snack foods
缶詰,canned foods
穀類,cereals
麺類,pasta
乳製品,dairy products
冷凍食品,frozen foods
果物,fruit
インスタント食品,instant foods
正味容量,net weight
使用方法,instructions
使用説明書,instructions for use
〜は含まれていない,contains no~
警告,warning
野菜,vegetable
キャベツ,cabbage
セロリ,celery
ネギ,leek
レタス,lettuce
パセリ,parsley
ほうれん草,spinach
ごぼう,burdock
にんじん,carrot
大根,radish
きゅうり,cucumber
なす,eggplant
マッシュルーム,mushroom
ピーマン,green pepper
玉ねぎ,onion
かぼちゃ,squash
とうもろこし,corn
トマト,tomato
肉,meat
牛肉,beef
鶏肉,chicken
仔羊肉,lamb
羊肉,mutton
豚肉,pork
七面鳥,turkey
仔牛,veal
魚,fish
ヒラメ,brill
カレイ,turbot
イワシ,sardine
タイ,sea bream
マグロ,tuna
貝,clam
ホタテ,scallop
カニ,crab
イカ,squid
アサリ,short-necked clam
イセエビ,spiny lobster
タコ,octopus
牡蠣,oyster
エビ,shrimp
調味料,seasonings
塩,salt
砂糖,sugar
醤油,soy sauce
酢,vinegar
香辛料,spices
唐辛子,red pepper
ニンニク,garlic
生姜,ginger
こしょう,pepper
パン,bread
半熟　,soft-boiled
固ゆで,hard-boiled
スコッチ,scotch
ウイスキー,whiskey
ブランデー,brandy
コニャック,cognac
水割り,with water
オンザロック,on the rocks
ジンフィズ,gin fizz
ビール,beer
ミラー,Miller
バドワイザー,Budweiser
シュリッツ,Schilitz
